0:  0,  1,  0 , 0
1:  1,  2,  1 , 0
2:  2,  3,  12,  1
3:  3,  4,  13,  2
4:  4,  4,  4 ,  3
5:  5,  6,  15,  5
6:  6,  7,  16,  5
7:  7,  8,  7 ,  6
8:  8,  9,  8 ,  7
9:  9,  9,  9 ,  8
10: 10, 11, 20, 10
11: 11, 11, 21, 10
12: 2, 12, 12, 12
13: 3, 13, 23, 13
14: 14, 15, 24, 14
15: 5, 15, 15, 14
16: 6, 17, 16, 16
17: 17, 18, 17, 16
18: 18, 19, 18, 17
19: 19, 19, 29, 18
20: 10, 20, 30, 20
21: 11, 22, 21, 21
22: 22, 23, 22, 21
23: 13, 23, 23, 22
24: 14, 25, 24, 24
25: 25, 25, 35, 24
26: 26, 27, 36, 26
27: 27, 28, 27, 26
28: 28, 28, 38, 27
29: 19, 29, 39, 29
30: 20, 31, 30, 30
31: 31, 32, 31, 30
32: 32, 32, 42, 31
33: 33, 34, 33, 33
34: 34, 35, 34, 33
35: 25, 36, 45, 34
36: 26, 36, 36, 35
37: 37, 38, 37, 37
38: 28, 38, 48, 37
39: 29, 39, 49, 39
40: 40, 41, 50, 40
41: 41, 41, 41, 40
42: 32, 42, 52, 42
43: 43, 44, 53, 43
44: 44, 45, 44, 43
45: 35, 45, 45, 44
46: 46, 46, 56, 46
47: 47, 48, 57, 47
48: 38, 48, 48, 47
49: 39, 49, 59, 49
50: 40, 51, 60, 50
51: 51, 52, 51, 50
52: 42, 53, 52, 51
53: 43, 53, 53, 52
54: 54, 55, 64, 54
55: 55, 56, 65, 54
56: 46, 56, 66, 55
57: 47, 57, 67, 57
58: 58, 58, 68, 58
59: 49, 59, 69, 59
60: 50, 61, 60, 60
61: 61, 61, 71, 60
62: 62, 63, 72, 62
63: 63, 63, 73, 62
64: 54, 64, 74, 64
65: 55, 66, 75, 65
66: 56, 66, 76, 65
67: 57, 67, 77, 67
68: 58, 69, 68, 68
69: 59, 69, 69, 68
70: 70, 71, 80, 70
71: 61, 71, 81, 70
72: 62, 72, 82, 72
73: 63, 74, 73, 73
74: 64, 74, 74, 73
75: 65, 76, 85, 75
76: 66, 76, 76, 75
77: 67, 78, 77, 77
78: 78, 79, 88, 77
79: 79, 79, 89, 78
80: 70, 80, 90, 80
81: 71, 81, 91, 81
82: 72, 82, 92, 82
83: 83, 84, 93, 83
84: 84, 85, 84, 83
85: 75, 85, 85, 84
86: 86, 87, 96, 86
87: 87, 87, 97, 86
88: 78, 88, 88, 88
89: 79, 89, 99, 89
90: 80, 90, 90, 90
91: 81, 92, 91, 91
92: 82, 92, 92, 91
93: 83, 94, 93, 93
94: 94, 94, 94, 93
95: 95, 96, 95, 95
96: 86, 96, 96, 95
97: 87, 98, 97, 97
98: 98, 99, 98, 97
99: 89, 99, 99, 98
